Time,Aston Quay,Bachelors Walk,Grafton Street / Nassau Street / Suffolk Street,Capel Street,"College Green, Bank Of Ireland",College Green @ Church Lane,Dawson Street,Dawson Street Replacement,Dame Street,Grafton Street,Grafton Street @ CompuB,"Doilier Street, Burgh Quay",College Green - Dame St Side,Henry Street,Liffey Street,Mary Street,O'Connell St Outside Pennys,"O'Connell St, Parnell St @ AIB",O'Connell St Outside Clerys,Talbot Street North,Talbot Street South,Westmoreland Street East,Westmoreland Street West
2023-03-03 00:00:00,1773,36,4566,384,23,624,234,874,176,143,516,21,5,420,5407,46,114,136,224,2118,1758,1110,1126
2023-03-03 01:00:00,998,14,1276,890,10,624,100,618,201,53,113,7,11,101,5195,22,166,61,118,1300,1758,1013,1126
2023-03-03 02:00:00,1114,8,1490,1529,30,624,59,434,180,52,170,6,1,101,4011,21,177,41,83,2114,1758,834,1126
2023-03-03 03:00:00,617,31,1053,1278,16,624,40,304,129,26,86,8,3,124,2336,8,211,43,71,1026,1758,1112,1126
2023-03-03 04:00:00,381,6,273,1468,2,624,20,117,114,7,44,2,3,174,2922,18,116,31,40,754,1758,700,1126
2023-03-03 05:00:00,487,38,523,1885,5,624,67,182,37,20,53,9,6,250,3559,33,90,41,129,825,1758,696,1126
2023-03-03 06:00:00,2378,124,2617,880,20,624,219,1220,226,81,362,57,50,931,3451,71,640,125,439,1813,1758,1519,1126
2023-03-03 07:00:00,4573,114,3897,1279,23,624,441,2156,413,173,859,132,79,1258,4594,147,1319,261,626,2660,1758,2151,1126
2023-03-03 08:00:00,5377,281,5672,2003,71,624,994,2506,713,324,1452,333,235,2704,5234,332,1579,636,1178,3040,1758,2307,1126
2023-03-03 09:00:00,4301,198,8534,1466,84,624,916,2099,688,280,1114,252,152,3741,6116,430,1380,621,1095,2757,1758,1978,1126
2023-03-03 10:00:00,4508,212,4124,4044,102,624,854,1922,665,284,1039,165,76,4749,6216,604,1934,690,1197,2726,1758,1600,1126
2023-03-03 11:00:00,3931,241,4324,3087,177,624,931,1982,682,331,1404,177,78,5653,6116,730,2504,779,1239,3175,1758,1606,1126
2023-03-03 12:00:00,5411,279,4593,3363,148,624,1102,1943,907,415,1370,353,115,7724,5496,847,2507,1074,1351,3777,1758,1654,1126
2023-03-03 13:00:00,5240,424,14010,5500,263,624,1121,1960,1120,509,1222,387,175,12419,5447,1205,2679,1085,1618,4291,1758,1490,1126
2023-03-03 14:00:00,4506,320,10228,2879,225,624,1027,1931,1003,473,1306,229,120,12560,5860,1121,2745,1006,1423,4607,1758,1358,1126
2023-03-03 15:00:00,5464,235,8118,3135,215,624,1030,1914,1036,500,1305,214,89,12798,6591,1116,2344,1119,1246,3789,1758,1805,1126
2023-03-03 16:00:00,4616,244,12409,3308,320,624,1073,1454,988,462,1406,273,144,12886,5665,1125,2910,1299,1287,3027,1758,1533,1126
2023-03-03 17:00:00,4282,326,9863,4255,338,624,1238,1748,1342,536,1517,384,174,12965,6798,915,3299,1320,1530,3444,1758,1526,1126
2023-03-03 18:00:00,5222,220,7326,5116,293,624,1175,1371,1239,440,1860,315,146,14039,6365,804,2464,1183,1522,3148,1758,1900,1126
2023-03-03 19:00:00,4444,151,6255,3732,229,624,825,2047,1008,306,1447,197,108,9027,7087,593,2467,1043,1376,3475,1758,2276,1126
2023-03-03 20:00:00,5040,107,6535,4218,168,624,650,1706,921,202,1011,113,89,4233,6666,456,1501,892,1057,3222,1758,2185,1126
2023-03-03 21:00:00,5524,128,5576,3716,146,624,454,1366,842,189,668,99,55,2477,7705,256,1114,619,918,3631,1758,2119,1126
2023-03-03 22:00:00,1911,103,4815,2721,172,624,568,1275,828,232,708,61,45,2113,7342,188,1217,409,917,3183,1758,2652,1126
2023-03-03 23:00:00,3945,59,3507,2856,148,624,563,1513,844,274,637,71,52,990,6407,104,1235,352,653,5115,1758,2387,1126
2023-03-04 00:00:00,1606,25,2712,1734,89,624,366,1030,412,174,338,53,8,318,6971,56,211,270,446,5593,1758,1405,1126
2023-03-04 01:00:00,2336,36,1645,928,72,624,253,848,248,121,278,25,28,614,6665,58,211,131,304,4566,1758,2515,1126
2023-03-04 02:00:00,1680,22,1156,1912,60,624,193,619,312,104,286,23,13,91,5058,22,61,104,273,2979,1758,1571,1126
2023-03-04 03:00:00,1381,17,653,348,78,624,110,635,185,78,211,21,2,209,2966,24,43,83,176,2015,1758,1549,1126
2023-03-04 04:00:00,561,6,375,24,14,624,46,415,60,22,73,4,3,69,3144,23,60,37,66,1597,1758,1108,1126
2023-03-04 05:00:00,364,2,593,19,7,624,28,196,29,17,27,3,4,130,2973,38,50,25,69,916,1758,2518,1126
2023-03-04 06:00:00,1724,20,558,326,14,624,76,685,101,53,132,7,12,542,3476,32,80,70,257,642,1758,1078,1126
2023-03-04 07:00:00,1445,28,1174,364,6,624,166,895,201,73,242,22,26,507,3812,72,209,138,393,1145,1758,763,1126
2023-03-04 08:00:00,3559,58,2742,961,21,624,320,1676,340,103,520,36,53,1528,4782,220,550,269,461,2613,1758,1554,1126
2023-03-04 09:00:00,3741,111,3870,2547,67,624,571,1723,479,178,700,85,81,4916,5363,398,705,450,718,2635,1758,1943,1126
2023-03-04 10:00:00,4005,110,4490,3129,157,624,825,2098,586,302,1139,109,99,6484,4415,622,763,659,1114,3450,1758,1847,1126
2023-03-04 11:00:00,4639,160,5622,3646,253,624,979,2120,717,350,1355,168,81,10166,4966,924,955,813,1138,3356,1758,1747,1126
2023-03-04 12:00:00,5553,166,6214,3974,295,624,1054,2256,1032,464,1775,149,96,12132,4875,1138,1236,913,1314,3398,1758,2316,1126
2023-03-04 13:00:00,5226,159,7329,3495,324,624,1139,2508,1229,568,1793,174,94,14310,4943,1298,934,1156,1380,3564,1758,2343,1126
2023-03-04 14:00:00,6361,166,6953,3660,408,624,1128,2354,1395,525,1704,173,74,14247,14550,1314,1281,1283,1434,3415,1758,1980,1126
2023-03-04 15:00:00,5209,174,7250,3522,393,624,1175,2138,1477,588,1637,122,100,15461,14316,1392,968,1142,1445,3361,1758,2185,1126
2023-03-04 16:00:00,4048,145,7842,4019,412,624,1099,2041,1396,578,1876,169,109,15425,13878,1245,1158,1210,1639,3813,1758,2353,1126
2023-03-04 17:00:00,5750,145,6441,3564,429,624,1008,2251,1393,519,1943,167,81,12826,4737,1351,1154,1214,1480,3866,1758,2403,1126
2023-03-04 18:00:00,6027,128,8508,2898,349,624,883,2213,1390,487,1827,138,97,10427,5923,1142,1256,1032,1522,3607,1758,2525,1126
2023-03-04 19:00:00,5119,107,5758,3658,261,624,731,1924,1479,308,1636,138,84,5678,6016,739,1002,1069,1412,4645,1758,2246,1126
2023-03-04 20:00:00,5066,94,5985,2587,203,624,562,2069,1334,257,1408,76,47,3180,7003,388,1014,756,1117,5915,1758,2217,1126
2023-03-04 21:00:00,4585,73,8202,1651,144,624,413,1251,951,195,903,56,29,1640,7513,285,558,598,850,4666,1758,2179,1126
2023-03-04 22:00:00,3023,86,7374,1948,162,624,580,1311,1031,248,878,63,58,1567,7475,212,1279,467,834,4318,1758,2008,1126
2023-03-04 23:00:00,4163,53,6046,3284,146,624,481,1291,900,222,856,45,42,1269,6431,132,811,349,705,4187,1758,2365,1126
